200231 0.0
200204 nan
200017 285.0
400450 0.0
200455 285.0
400906 0.0
601391 285.0
802421 0.0
1002979 270.0
1203141 270.0
1403258 285.0
1603356 270.0
1803984 285.0
2004211 285.0
2204237 285.0
2404251 0.0
2604257 0.0
2804355 285.0
3005219 0.0
3205531 0.0
3406086 270.0
3606285 270.0
200160 0.0
200613 -6.0
200573 140.0
401167 230.0
200160 150.0
200277 190.0
400520 230.0
600710 265.0
800864 780.0
1001975 135.0
1202302 70.0
1403147 130.0
1603793 600.0
1804004 135.0
2004615 390.0
2204829 160.0
2405531 75.0
200717 160.0
401352 500.0
602096 235.0
802342 240.0
1002874 200.0
1203379 490.0
1403438 335.0
1603717 470.0
1804033 320.0
2004321 190.0
2204961 85.0
2405496 300.0
2605923 210.0
200144 100.0
400752 230.0
601141 120.0
801607 210.0
1002215 330.0
1203144 340.0
1403953 280.0
1604019 85.0
1804414 170.0
200134 25.0
400552 205.0
601108 110.0
200571 460.0
400878 105.0
601407 80.0
801490 60.0
1001539 275.0
1201621 295.0
1402483 470.0
1603232 125.0
1803381 715.0
2004207 290.0
200404 90.0
400753 70.0
601486 80.0
801664 245.0
1002165 285.0
1202662 465.0
1403047 295.0
1603269 210.0
1803541 180.0
200314 140.0
401141 135.0
601222 110.0
801346 70.0
1001683 200.0
1202061 285.0
